Name,Logo,Cuisine,Kosher,10bis,Longitude,Latitude,Address,People Actually Go?
קונטיינר,https://d25t2285lxl5rf.cloudfront.net/images/shops/21660.png,Salad/Sandwich,,checked,34.7815032,32.0759942,אבן גבירול 37 תל אביב יפו,checked
דליקטסים,https://d25t2285lxl5rf.cloudfront.net/images/shops/22213.png,Salad/Sandwich,checked,checked,34.783801,32.0696523,החשמונאים 95 תל אביב יפו,
מטרו סלטים,https://d25t2285lxl5rf.cloudfront.net/images/shops/22377.png,Salad/Sandwich,,checked,34.7858225,32.0695106,החשמונאים 119 תל אביב יפו,
פוקישופ,https://d25t2285lxl5rf.cloudfront.net/images/shops/22480.png,Salad/Sandwich,checked,checked,34.7816028,32.0792868,אבן גבירול 62 תל אביב יפו,checked
פוקי ,https://d25t2285lxl5rf.cloudfront.net/images/shops/22523.png,Salad/Sandwich,checked,checked,34.7819863,32.0736671,אבן גבירול 20 תל אביב יפו,checked
סרדינה,https://d25t2285lxl5rf.cloudfront.net/images/shops/22605.png,Salad/Sandwich,,checked,34.7865759,32.0713993,אלוף קלמן מגן 3 תל אביב יפו,
טל בייגלס,https://d25t2285lxl5rf.cloudfront.net/images/shops/347.gif,Salad/Sandwich,,checked,34.7822786,32.0707737,קרליבך 41 תל אביב יפו,
קמפאי,https://d25t2285lxl5rf.cloudfront.net/images/shops/16817.png,Sushi,,checked,34.7861786,32.0723707,אוסוולדו ארניה 9 תל אביב יפו,
זה סושי,https://d25t2285lxl5rf.cloudfront.net/images/shops/19355.png,Sushi,,checked,34.7865759,32.0713993,אלוף קלמן מגן 3 תל אביב יפו,
אונמי ,https://d25t2285lxl5rf.cloudfront.net/images/shops/20969.jpg,Sushi,,checked,34.7846938,32.0703735,הארבעה 18 תל אביב יפו,
סואי סושי ,https://d25t2285lxl5rf.cloudfront.net/images/shops/22670.jpg,Sushi,,checked,34.7825281,32.0753545,שדרות שאול המלך 4 תל אביב יפו,checked
תפוח,https://d25t2285lxl5rf.cloudfront.net/images/shops/13977.png,Vegan,,checked,34.7836297,32.0695922,החשמונאים 91 תל אביב יפו,
השווארמה הטבעונית,https://d25t2285lxl5rf.cloudfront.net/images/shops/19144.jpg,Vegan,,checked,34.7766126,32.0759992,המלך ג'ורג' 81 תל אביב יפו,
ברטון קרפרי ,https://d25t2285lxl5rf.cloudfront.net/images/shops/21690.png,Vegan,,checked,34.7813919,32.0776674,אבן גבירול 52 תל אביב יפו,
טעם הפרי,https://d25t2285lxl5rf.cloudfront.net/images/shops/23028.png,Vegan,,checked,34.7865759,32.0713993,אלוף קלמן מגן 3 תל אביב יפו,
